Ticker;DOGE-USD;BTC-USD;ETH-USD;XRP-USD
23.11.2020;0.003648;18364.12109;608.4540405;0.613979995
24.11.2020;0.004204;19107.46484;603.8977661;0.692103028
25.11.2020;0.003727;18732.12109;570.6866455;0.635483027
26.11.2020;0.00325;17150.62305;518.8011475;0.533019006
27.11.2020;0.003275;17108.40234;517.4937134;0.559267998
28.11.2020;0.003405;17717.41406;538.2297974;0.625621974
29.11.2020;0.003448;18177.48438;575.7580566;0.606245995
30.11.2020;0.003551;19625.83594;614.8425293;0.664336979
01.12.2020;0.003335;18802.99805;587.3241577;0.612923026
02.12.2020;0.003374;19201.0918;598.352356;0.629893005
03.12.2020;0.003428;19445.39844;616.7087402;0.631483018
04.12.2020;0.003298;18699.76563;569.354187;0.557262003
05.12.2020;0.003397;19154.23047;596.595459;0.584420979
06.12.2020;0.003388;19345.12109;601.9089966;0.619850993
07.12.2020;0.003342;19191.63086;591.8433838;0.608933985
08.12.2020;0.003179;18321.14453;554.8277588;0.558835983
09.12.2020;0.003158;18553.91602;573.479126;0.583589971
10.12.2020;0.003105;18264.99219;559.6785278;0.572953999
11.12.2020;0.003079;18058.9043;545.7973633;0.54648298
12.12.2020;0.003163;18803.65625;568.5673218;0.506401002
13.12.2020;0.003256;19142.38281;589.663208;0.511464
14.12.2020;0.003231;19246.64453;586.0111694;0.497711986
15.12.2020;0.003206;19417.07617;589.3555908;0.469709992
16.12.2020;0.003416;21310.59766;636.1818237;0.568628013
17.12.2020;0.00373;22805.16211;642.8689575;0.576677024
18.12.2020;0.003858;23137.96094;654.8119507;0.584280014
19.12.2020;0.003927;23869.83203;659.2979126;0.579163015
20.12.2020;0.004625;23477.29492;638.2908325;0.55605799
21.12.2020;0.004787;22803.08203;609.8178711;0.516943991
22.12.2020;0.004508;23783.0293;634.854187;0.448448002
23.12.2020;0.003768;23241.3457;583.7145996;0.258601993
24.12.2020;0.00457;23735.94922;611.6071777;0.33781901
25.12.2020;0.004582;24664.79102;626.4107056;0.318091005
26.12.2020;0.004494;26437.03711;635.8358154;0.294712991
27.12.2020;0.004548;26272.29492;682.642334;0.283039004
28.12.2020;0.004592;27084.80859;730.3973389;0.247958004
29.12.2020;0.004486;27362.4375;731.5201416;0.220962003
30.12.2020;0.004636;28840.95313;751.6189575;0.211827993
31.12.2020;0.004682;29001.7207;737.8034058;0.219845995
01.01.2021;0.005685;29374.15234;730.3675537;0.237443998
02.01.2021;0.010615;32127.26758;774.5349731;0.221654996
